"year","month","state","primary_mode","etiology","etiology_status","setting","illnesses","hospitalizations","deaths","food_contaminated_ingredient","ifsac_category","water_exposure","etiology_category","setting_category"
2002,1,"California","Food","Norovirus Genogroup I","Suspected","Restaurant: Other",15,1,0,,,,"Viral","Food Service"
2002,1,"California","Food","Norovirus Genogroup I","Suspected","Restaurant: Other",4,0,0,,"Multiple",,"Viral","Food Service"
2002,1,"California","Food","Norovirus Genogroup I","Suspected","Restaurant: Other",4,0,0,,"Beef",,"Viral","Food Service"
2002,1,"California","Food","Bacillus cereus;Clostridium perfringens","Suspected;Suspected","Restaurant: Other",3,0,0,,,,"Bacterial","Food Service"
2002,1,"California","Food","Bacillus cereus;Clostridium perfringens","Suspected;Suspected","Other",13,0,0,,"Multiple",,"Bacterial","Other"
2002,1,"Guam","Food","Scombroid toxin","Suspected","Private home/residence",2,0,0,,"Fish",,"Chemical","Home"
2002,1,"California","Food","Bacillus cereus;Clostridium perfringens","Suspected;Suspected","Restaurant: Other",9,1,0,,"Multiple",,"Bacterial","Food Service"
2002,1,"Michigan","Food","","","Restaurant: Other",8,0,0,,,,"Unknown","Food Service"
2002,2,"Illinois","Food","","","Restaurant: Other",2,0,0,,,,"Unknown","Food Service"
2002,2,"Ohio","Water","Pseudomonas aeruginosa","Suspected","Hotel/motel",18,0,0,,,"Recreational water -- treated","Bacterial","Hotel/Resort"
2002,2,"Maryland","Water","Pseudomonas aeruginosa","Suspected","Fee-based facility/membership club",3,0,0,,,"Recreational water -- treated","Bacterial","Other"
2002,2,"Alaska","Water","Pseudomonas aeruginosa","Confirmed","Hotel/motel",3,0,0,,,"Recreational water -- treated","Bacterial","Hotel/Resort"
2002,2,"Alaska","Water","Pseudomonas aeruginosa","Confirmed","Hotel/motel",110,0,0,,,"Recreational water -- treated","Bacterial","Hotel/Resort"
2002,2,"Multistate","Food","Salmonella enterica","Confirmed","Private home/residence",47,12,1,,"Beef",,"Bacterial","Home"
2002,2,"Virginia","Food","Norovirus Genogroup I","Confirmed","Restaurant: Other",23,0,0,,,,"Viral","Food Service"
2002,2,"Michigan","Food","Salmonella enterica","Confirmed","Restaurant: Other",196,24,0,"egg","Eggs",,"Bacterial","Food Service"
2002,2,"Michigan","Food","Norovirus Genogroup I","Confirmed","Restaurant: Other",5,0,0,,"Other",,"Viral","Food Service"
2002,2,"Michigan","Food","","","Restaurant: Other",3,0,0,,,,"Unknown","Food Service"
2002,2,"Michigan","Food","","","Restaurant: Other",2,0,0,,"Multiple",,"Unknown","Food Service"
2002,2,"Pennsylvania","Food","Norovirus Genogroup I","Suspected","Camp",25,0,0,,,,"Viral","Event"
2002,2,"Oregon","Food","Salmonella enterica","Confirmed","Unknown",27,0,0,,,,"Bacterial","Unknown"
2002,2,"Alaska","Food","Norovirus Genogroup II","Confirmed","Restaurant: Other",22,0,0,,"Multiple",,"Viral","Food Service"
2002,2,"Alaska","Food","Norovirus Genogroup I","Confirmed","Unknown",16,0,0,,"Multiple",,"Viral","Unknown"
